SY,District,"Org Code","In-District FTE Average Membership","Out-of-District FTE Average Membership","Total FTE Average Membership"
2011,"GREATER FALL RIVER",08210000,1376.6,0,1376.6
2011,"GREATER LAWRENCE",08230000,1184.2,191.8,1376
2011,"GREATER LOWELL",08280000,2032.1,61.6,2093.7
2011,"GREATER NEW BEDFORD",08250000,2091.5,0.4,2091.9
2011,GREENFIELD,01140000,1853.8,512.5,2366.3
2011,"GROTON DUNSTABLE",06730000,2776.5,121.9,2898.4
2011,HADLEY,01170000,714.9,75.8,790.7
2011,HALIFAX,01180000,633,23.3,656.3
2011,"HAMILTON WENHAM",06750000,1962,30.1,1992.1
2011,"HAMPDEN WILBRAHAM",06800000,3573.9,86.8,3660.7
2011,HAMPSHIRE,06830000,810.2,109.2,919.4
2011,HANCOCK,01210000,48.4,68.1,116.5
2011,HANOVER,01220000,2704,53,2757
2011,HARVARD,01250000,1261.3,56,1317.3
2011,HARWICH,01260000,1322.2,240,1562.2
2011,HATFIELD,01270000,466.5,61.5,528
2011,HAVERHILL,01280000,6906.1,1230.1,8136.2
2011,HAWLEMONT,06850000,96.1,17,113.1
2011,HINGHAM,01310000,4105.3,63.9,4169.2
2011,HOLBROOK,01330000,1177.3,78.2,1255.5
2011,HOLLAND,01350000,250,4.7,254.7
2011,HOLLISTON,01360000,2863.5,63.3,2926.8
2011,HOLYOKE,01370000,5737.3,980.3,6717.6
2011,HOPEDALE,01380000,1280.6,66.1,1346.7
2011,HOPKINTON,01390000,3391.6,82,3473.6
2011,HUDSON,01410000,2988.5,123.9,3112.4
2011,HULL,01420000,1167.7,74.5,1242.2
2011,IPSWICH,01440000,2096.7,35.9,2132.6
2011,"KING PHILIP",06900000,2108.2,76.8,2185
2011,KINGSTON,01450000,1185.4,35.8,1221.2
2011,LAKEVILLE,01460000,668,65.5,733.5
2011,LANESBOROUGH,01480000,258.1,36,294.1
2011,LAWRENCE,01490000,12834.1,1189.5,14023.6
2011,LEE,01500000,825.9,80,905.9
2011,LEICESTER,01510000,1818.8,124.1,1942.9
2011,LENOX,01520000,795.2,48.4,843.6
2011,LEOMINSTER,01530000,6144.9,487.2,6632.1
2011,LEVERETT,01540000,160.8,6.4,167.2
2011,LEXINGTON,01550000,6315,105.1,6420.1
2011,LINCOLN,01570000,1091.7,8.9,1100.6
2011,"LINCOLN SUDBURY",06950000,1583.9,41.5,1625.4
2011,LITTLETON,01580000,1567.1,139,1706.1
2011,LONGMEADOW,01590000,2984.5,62.5,3047
2011,LOWELL,01600000,13587.1,1153.9,14741
