,,,,"Actual NSS Above Foundation",,"Actual NSS Above Required Net School Spending",
SY,"Org Name","Org Code","Actual Net School Spending","Foundation Budget","Percent Above","Required NSS Budget","Percent Above"
2012,Taunton,02930000,74437917,75257775,-0.01,77321455,-0.04
2012,Tewksbury,02950000,42579325,34519815,0.23,36241934,0.18
2012,Tisbury,02960000,7244961,3137805,1.31,3421397,1.12
2012,Topsfield,02980000,7139642,4836646,0.48,5245421,0.36
2012,"Tri County Regional Vocational Technical",08780000,13592432,13542704,0,13542704,0
2012,Triton,07730000,32266160,26824765,0.2,29383450,0.1
2012,Truro,03000000,4350268,1679938,1.59,2004073,1.17
2012,Tyngsborough,03010000,18479483,15581685,0.19,16612883,0.11
2012,Tyringham,03020000,176651,241849,-0.27,294263,-0.4
2012,Up-Island,07740000,8275506,2947159,1.81,3719841,1.23
2012,"Upper Cape Cod Regional Vocational Technical",08790000,11382275,9659521,0.18,10559422,0.08
2012,Upton,03030000,0,12582,-1,21317,-1
2012,Uxbridge,03040000,22926647,16877043,0.36,18911225,0.21
2012,Wachusett,07750000,66868213,60601665,0.1,60601665,0.1
2012,Wakefield,03050000,35959589,30243376,0.19,30484996,0.18
2012,Wales,03060000,1793646,1324351,0.35,1324351,0.35
2012,Walpole,03070000,40563507,33583987,0.21,34846717,0.16
2012,Waltham,03080000,84784929,50081563,0.69,55732462,0.52
2012,Ware,03090000,12957881,13217324,-0.02,13922842,-0.07
2012,Wareham,03100000,30126705,28986212,0.04,30125218,0
2012,Warwick,03120000,30758,0,0,0," %"
2012,Washington,03130000,16775,12250,0.37,21976,-0.24
2012,Watertown,03140000,38230814,25827066,0.48,26667362,0.43
2012,Wayland,03150000,37693089,22873244,0.65,24828838,0.52
2012,Webster,03160000,20019606,19221499,0.04,19295882,0.04
2012,Wellesley,03170000,59303291,42989228,0.38,44700708,0.33
2012,Wellfleet,03180000,2900996,1181906,1.46,1295785,1.24
2012,Wendell,03190000,3880,0,0,0," %"
2012,"West Boylston",03220000,11259473,8200895,0.37,9165074,0.23
2012,"West Bridgewater",03230000,11257140,9407934,0.2,9407934,0.2
2012,"West Brookfield",03240000,259842,231761,0.12,318206,-0.18
2012,"West Springfield",03320000,41432981,38457481,0.08,38457481,0.08
2012,Westborough,03210000,45094278,29045979,0.55,30385771,0.48
2012,Westfield,03250000,62503765,56348312,0.11,57206253,0.09
2012,Westford,03260000,51698496,43881686,0.18,45102453,0.15
2012,Westhampton,03270000,1722731,1193877,0.44,1266174,0.36
2012,Weston,03300000,39871516,20217500,0.97,21814190,0.83
2012,Westport,03310000,17067027,15633780,0.09,16467978,0.04
2012,Westwood,03350000,38901876,26758357,0.45,27167735,0.43
2012,Weymouth,03360000,64699465,64565175,0,66323242,-0.02
2012,Whately,03370000,1926181,778132,1.48,808118,1.38
2012,Whitman,03380000,500308,158260,2.16,171193,1.92
2012,Whitman-Hanson,07800000,38147108,36625906,0.04,36894732,0.03
2012,"Whittier Regional Vocational Technical",08850000,17402655,15261656,0.14,15261656,0.14
2012,Williamsburg,03400000,2175104,1626834,0.34,1626834,0.34
2012,Williamstown,03410000,4977666,2930427,0.7,3660481,0.36
2012,Wilmington,03420000,43152152,33089929,0.3,33233707,0.3
2012,Winchendon,03430000,15615819,15461197,0.01,15801887,-0.01
2012,Winchester,03440000,46299110,35352719,0.31,35352719,0.31
2012,Windsor,03450000,112050,98001,0.14,104789,0.07
2012,Winthrop,03460000,18790176,17937169,0.05,17937169,0.05
2012,Woburn,03470000,58101723,44725939,0.3,44725939,0.3
2012,Worcester,03480000,285850066,286908105,0,287203774,-0.01
2012,Worthington,03490000,180330,49000,2.68,116286,0.55
2012,Wrentham,03500000,10634267,8997164,0.18,9419712,0.13
2012,Yarmouth,03510000,0,12250,-1,15182,-1
2012,"MASSACHUSETTS TOTAL",00000000,10873363773,9119340580,0.19,9420539741,0.15
2011,Abington,00010000,20428341,18226050,0.12,18947009,0.08
2011,Acton,00020000,25139897,19649105,0.28,19676846,0.28
2011,Acton-Boxborough,06000000,32944323,26278547,0.25,26732726,0.23
2011,Acushnet,00030000,12302388,10323398,0.19,11409135,0.08
2011,Adams-Cheshire,06030000,15468488,14205800,0.09,14174824,0.09
2011,Agawam,00050000,44633206,37851740,0.18,37526601,0.19
2011,Amesbury,00070000,26416974,21216915,0.25,22024384,0.2
2011,Amherst,00080000,21121341,12104977,0.75,14027486,0.51
2011,Amherst-Pelham,06050000,24847550,15978764,0.56,20107126,0.24
2011,Andover,00090000,71985699,52465302,0.37,53130256,0.36
2011,Arlington,00100000,48997461,39642106,0.24,40123628,0.22
2011,Ashburnham,00110000,0,12036,-1,12036,-1
2011,Ashburnham-Westminster,06100000,21628659,20412503,0.06,20338089,0.06
