adminyear,grade,org_code,DistrictName,SchoolName,group,e_enroll,e_standard,e_alt,e_abs,e_med,e_lep,e_afteroct,m_enroll,m_standard,m_alt,m_abs,m_med,m_lep,m_afteroct,s_enroll,s_standard,s_alt,s_abs,s_med,s_lep,s_afteroct,e_ayppart,m_ayppart,s_ayppart
2009,07,01650013,Malden,Ferryway,Hispanic/Latino,25,19,,1,,,5,25,19,,1,,,5,,,,,,,,96,96,
2009,07,01650013,Malden,Ferryway,White,25,20,3,,,,2,25,20,3,,,,2,,,,,,,,100,100,
2009,07,01650013,Malden,Ferryway,"LEP/Formerly LEP",17,14,,,,,3,17,14,,,,,3,,,,,,,,100,100,
2009,07,01650013,Malden,Ferryway,"Special Ed",20,12,5,1,,,2,20,12,5,1,,,2,,,,,,,,95,95,
2009,08,01650013,Malden,Ferryway,"All Students",103,94,,3,1,,5,103,95,,3,,,5,103,95,,3,,,5,96,97,97
2009,08,01650013,Malden,Ferryway,"Low Income",53,47,,3,,,3,53,47,,3,,,3,53,47,,3,,,3,94,94,94
2009,08,01650013,Malden,Ferryway,Black,20,20,,,,,,20,20,,,,,,20,20,,,,,,100,100,100
2009,08,01650013,Malden,Ferryway,Asian,13,13,,,,,,13,13,,,,,,13,13,,,,,,100,100,100
2009,08,01650013,Malden,Ferryway,Hispanic/Latino,17,14,,1,,,2,17,14,,1,,,2,17,14,,1,,,2,94,94,94
2009,08,01650013,Malden,Ferryway,White,48,43,,2,1,,2,48,44,,2,,,2,48,44,,2,,,2,94,96,96
2009,08,01650013,Malden,Ferryway,"Special Ed",19,16,,,1,,2,19,17,,,,,2,19,17,,,,,2,95,100,100
2009,03,01650027,Malden,Forestdale,"All Students",70,60,3,1,,1,5,70,61,3,,,1,5,,,,,,,,99,100,
2009,03,01650027,Malden,Forestdale,"Low Income",28,22,,1,,1,4,28,23,,,,1,4,,,,,,,,96,100,
2009,03,01650027,Malden,Forestdale,Black,11,8,,,,1,2,11,8,,,,1,2,,,,,,,,100,100,
2009,03,01650027,Malden,Forestdale,Hispanic/Latino,24,20,1,1,,,2,24,21,1,,,,2,,,,,,,,96,100,
2009,03,01650027,Malden,Forestdale,White,29,27,2,,,,,29,27,2,,,,,,,,,,,,100,100,
2009,03,01650027,Malden,Forestdale,"LEP/Formerly LEP",10,6,,,,1,3,10,6,,,,1,3,,,,,,,,100,100,
2009,04,01650027,Malden,Forestdale,"All Students",53,49,3,,,,1,53,49,3,,,,1,,,,,,,,100,100,
2009,04,01650027,Malden,Forestdale,"Low Income",18,16,1,,,,1,18,16,1,,,,1,,,,,,,,100,100,
2009,04,01650027,Malden,Forestdale,Hispanic/Latino,10,9,,,,,1,10,9,,,,,1,,,,,,,,100,100,
2009,04,01650027,Malden,Forestdale,White,26,24,2,,,,,26,24,2,,,,,,,,,,,,100,100,
2009,04,01650027,Malden,Forestdale,"Special Ed",10,7,3,,,,,10,7,3,,,,,,,,,,,,100,100,
2009,05,01650027,Malden,Forestdale,"All Students",67,63,2,,,,2,67,63,2,,,,2,67,63,2,,,,2,100,100,100
2009,05,01650027,Malden,Forestdale,"Low Income",23,20,1,,,,2,23,20,1,,,,2,23,20,1,,,,2,100,100,100
2009,05,01650027,Malden,Forestdale,Black,11,11,,,,,,11,11,,,,,,11,11,,,,,,100,100,100
2009,05,01650027,Malden,Forestdale,White,38,37,,,,,1,38,37,,,,,1,38,37,,,,,1,100,100,100
2009,05,01650027,Malden,Forestdale,"Special Ed",14,11,2,,,,1,14,11,2,,,,1,14,11,2,,,,1,100,100,100
2009,06,01650027,Malden,Forestdale,"All Students",67,65,1,,,,1,67,64,1,,1,,1,,,,,,,,100,99,
2009,06,01650027,Malden,Forestdale,"Low Income",16,15,,,,,1,16,14,,,1,,1,,,,,,,,100,94,
2009,06,01650027,Malden,Forestdale,Hispanic/Latino,19,18,,,,,1,19,18,,,,,1,,,,,,,,100,100,
2009,06,01650027,Malden,Forestdale,White,34,33,1,,,,,34,32,1,,1,,,,,,,,,,100,97,
2009,07,01650027,Malden,Forestdale,"All Students",57,55,1,,,,1,57,55,1,,,,1,,,,,,,,100,100,
2009,07,01650027,Malden,Forestdale,"Low Income",20,19,,,,,1,20,19,,,,,1,,,,,,,,100,100,
2009,07,01650027,Malden,Forestdale,Black,15,15,,,,,,15,15,,,,,,,,,,,,,100,100,
2009,07,01650027,Malden,Forestdale,Hispanic/Latino,10,9,,,,,1,10,9,,,,,1,,,,,,,,100,100,
2009,07,01650027,Malden,Forestdale,White,27,26,1,,,,,27,26,1,,,,,,,,,,,,100,100,
2009,07,01650027,Malden,Forestdale,"Special Ed",11,10,1,,,,,11,10,1,,,,,,,,,,,,100,100,
2009,08,01650027,Malden,Forestdale,"All Students",48,48,,,,,,48,48,,,,,,48,48,,,,,,100,100,100
2009,08,01650027,Malden,Forestdale,"Low Income",19,19,,,,,,19,19,,,,,,19,19,,,,,,100,100,100
2009,08,01650027,Malden,Forestdale,Hispanic/Latino,14,14,,,,,,14,14,,,,,,14,14,,,,,,100,100,100
2009,08,01650027,Malden,Forestdale,White,27,27,,,,,,27,27,,,,,,27,27,,,,,,100,100,100
2009,03,01650047,Malden,Linden,"All Students",109,103,5,,,,1,108,102,5,,,,1,,,,,,,,100,100,
2009,03,01650047,Malden,Linden,"Low Income",61,56,4,,,,1,61,56,4,,,,1,,,,,,,,100,100,
2009,03,01650047,Malden,Linden,Black,18,14,4,,,,,18,14,4,,,,,,,,,,,,100,100,
2009,03,01650047,Malden,Linden,Asian,28,28,,,,,,28,28,,,,,,,,,,,,,100,100,
2009,03,01650047,Malden,Linden,Hispanic/Latino,18,17,,,,,1,18,17,,,,,1,,,,,,,,100,100,
2009,03,01650047,Malden,Linden,White,37,36,1,,,,,37,36,1,,,,,,,,,,,,100,100,
2009,03,01650047,Malden,Linden,"LEP/Formerly LEP",12,12,,,,,,12,12,,,,,,,,,,,,,100,100,
2009,03,01650047,Malden,Linden,"Special Ed",26,20,5,,,,1,26,20,5,,,,1,,,,,,,,100,100,
2009,04,01650047,Malden,Linden,"All Students",95,88,2,,,1,4,95,88,2,,,1,4,,,,,,,,100,100,
2009,04,01650047,Malden,Linden,"Low Income",54,50,2,,,,2,54,50,2,,,,2,,,,,,,,100,100,
2009,04,01650047,Malden,Linden,Black,15,13,1,,,,1,15,13,1,,,,1,,,,,,,,100,100,
2009,04,01650047,Malden,Linden,Asian,25,25,,,,,,25,25,,,,,,,,,,,,,100,100,
2009,04,01650047,Malden,Linden,Hispanic/Latino,15,12,1,,,,2,15,12,1,,,,2,,,,,,,,100,100,
2009,04,01650047,Malden,Linden,White,31,30,,,,,1,31,30,,,,,1,,,,,,,,100,100,
2009,04,01650047,Malden,Linden,"LEP/Formerly LEP",15,14,1,,,,,15,14,1,,,,,,,,,,,,100,100,
2009,04,01650047,Malden,Linden,"Special Ed",15,12,2,,,,1,15,12,2,,,,1,,,,,,,,100,100,
2009,05,01650047,Malden,Linden,"All Students",104,91,9,,,1,3,104,91,9,,,1,3,104,91,9,,,1,3,100,100,100
2009,05,01650047,Malden,Linden,"Low Income",53,44,6,,,,3,53,44,6,,,,3,53,44,6,,,,3,100,100,100
2009,05,01650047,Malden,Linden,Black,16,12,3,,,,1,16,12,3,,,,1,16,12,3,,,,1,100,100,100
2009,05,01650047,Malden,Linden,Asian,27,25,,,,1,1,27,25,,,,1,1,27,25,,,,1,1,100,100,100
2009,05,01650047,Malden,Linden,Hispanic/Latino,17,13,3,,,,1,17,13,3,,,,1,17,13,3,,,,1,100,100,100
2009,05,01650047,Malden,Linden,White,42,39,3,,,,,42,39,3,,,,,42,39,3,,,,,100,100,100
2009,05,01650047,Malden,Linden,"LEP/Formerly LEP",11,8,2,,,1,,11,8,2,,,1,,11,8,2,,,1,,100,100,100
2009,05,01650047,Malden,Linden,"Special Ed",16,6,9,,,,1,16,6,9,,,,1,16,6,9,,,,1,100,100,100
2009,06,01650047,Malden,Linden,"All Students",92,88,2,1,,,1,91,87,3,,,,1,,,,,,,,99,100,
2009,06,01650047,Malden,Linden,"Low Income",51,48,1,1,,,1,51,48,2,,,,1,,,,,,,,98,100,
2009,06,01650047,Malden,Linden,Black,14,12,1,,,,1,14,12,1,,,,1,,,,,,,,100,100,
2009,06,01650047,Malden,Linden,Asian,25,24,1,,,,,24,23,1,,,,,,,,,,,,100,100,
2009,06,01650047,Malden,Linden,Hispanic/Latino,12,11,,1,,,,12,11,1,,,,,,,,,,,,92,100,
2009,06,01650047,Malden,Linden,White,32,32,,,,,,32,32,,,,,,,,,,,,,100,100,
