"Grades Offered by District Report",,
"District Code",District,"Grade List"
04940000,"Pioneer Charter School of Science (District)","7,8,9,10,11,12"
04960000,"Global Learning Charter Public (District)","5,6,7,8,9,10,11,12"
04970000,"Pioneer Valley Chinese Immersion Charter(District)","K,1,2,3,4,5,6,7,8,9"
04980000,"Veritas Preparatory Charter School (District)","5,6"
04990000,"Hampden Charter School of Science (District)","6,7,8,9,10,11,12"
06000000,Acton-Boxborough,"7,8,9,10,11,12"
06030000,Adams-Cheshire,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06050000,Amherst-Pelham,"7,8,9,10,11,12"
06100000,Ashburnham-Westminster,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06150000,Athol-Royalston,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06160000,"Ayer Shirley School District","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06180000,"Berkshire Hills","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06200000,Berlin-Boylston,"6,7,8,9,10,11,12"
06220000,Blackstone-Millville,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06250000,Bridgewater-Raynham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06320000,Chesterfield-Goshen,"PK,K,1,2,3,4,5,6"
06350000,"Central Berkshire","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06400000,Concord-Carlisle,"9,10,11,12"
06450000,Dennis-Yarmouth,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06500000,Dighton-Rehoboth,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06550000,Dover-Sherborn,"6,7,8,9,10,11,12"
06580000,"Dudley-Charlton Reg","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06600000,Nauset,"6,7,8,9,10,11,12"
06620000,"Farmington River Reg","PK,K,1,2,3,4,5,6"
06650000,Freetown-Lakeville,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06700000,Frontier,"7,8,9,10,11,12"
06720000,Gateway,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06730000,Groton-Dunstable,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06740000,Gill-Montague,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06750000,Hamilton-Wenham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06800000,Hampden-Wilbraham,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
06830000,Hampshire,"7,8,9,10,11,12"
06850000,Hawlemont,"PK,K,1,2,3,4,5,6"
06900000,"King Philip","7,8,9,10,11,12"
06950000,Lincoln-Sudbury,"9,10,11,12"
06980000,"Manchester Essex Regional","PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
07000000,"Martha's Vineyard","9,10,11,12"
07050000,Masconomet,"7,8,9,10,11,12"
