FY_CODE,PARENT_ORG_CODE,ORG_CODE,ORG_NAME,TEACHER_COUNT,LICENSED_PCT,CORE_COUNT,HQ_PCT,STAFF_TEASTU_PCT
2004,00350000,00350530,"East Boston High",65,86.15,62,91.94,22.6
2004,00350000,00350535,"The English High",73,79.45,63,82.54,18.1
2004,00350000,00350537,"Madison Park High",122.5,78.86,75,85.47,13.6
2004,00350000,00350538,"Monument High School",22,77.27,20,80,17.5
2004,00350000,00350539,"Tech Boston Academy",10,70,9,77.78,14.4
2004,00350000,00350540,"Fenway High School",19,57.89,17,70.59,13.2
2004,00350000,00350541,"Another Course To College",6,83.33,6,100,26.2
2004,00350000,00350542,"New Mission High School",10,50,10,60,23.4
2004,00350000,00350543,"Egleston Comm High School",6.8,26.47,5.8,82.76,11.6
2004,00350000,00350545,"Boston Latin Academy",78,91.03,73,95.89,21.1
2004,00350000,00350546,"Boston Arts Academy",30.3,73.6,29.3,81.23,13.2
2004,00350000,00350548,"Boston Adult Academy",4,100,4,100,63.3
2004,00350000,00350550,"Hyde Park High School",67,73.13,62,79.03,17.8
2004,00350000,00350558,"Boston Community Leadership Academy",38,55.26,37,62.16,11.1
2004,00350000,00350560,"Boston Latin",112,91.07,107,93.46,21.6
2004,00350000,00350565,"Quincy Upper School",19.3,60.62,18.3,63.93,20.6
2004,00350000,00350573,"West Roxbury Sch",72,93.75,55,99.09,18.5
2004,00350000,00350575,"O'Bryant Sch Math/Science",64,89.84,57,93.86,20.2
2004,00350000,00350577,"Odyssey High School",19,94.74,18,100,18.2
2004,00350000,00350580,"Expulsion Alt School",0,0,0,0,0
2004,00350000,00350588,"Young Adult Center",0,0,0,0,0
2004,00350000,00350690,"Snowden Int'l High",24,84.17,23,91.3,18.5
2004,00350000,00350691,"Rafael Hernandez",25.8,49.61,24,62.5,15.2
2004,00350000,00350750,"Horace Mann",44.5,74.16,0,0,3.1
2004,00350000,00350972,"Little House Altern",,,,,
2004,00360000,00360000,Bourne,162.66,96.5,146.56,96.25,15.6
2004,00360000,00360010,"James F Peebles Elem",36.5,93.15,33.8,92.6,13.8
2004,00360000,00360015,"Ella F Hoxie School",11.66,100,11.26,100,16.9
2004,00360000,00360020,"Otis Memorial",19.9,98.99,18.9,100,18.1
2004,00360000,00360325,"Bourne Middle School",48,97.92,42,97.62,17.4
2004,00360000,00360505,"Bourne High",46.6,95.71,40.6,95.07,13.6
2004,00370000,00370000,Boxborough,42.1,100,36.4,100,14.5
2004,00370000,00370005,"Blanchard Memorial",42.1,100,36.4,100,14.5
2004,00380000,00380000,Boxford,74.1,99.6,67.7,100,14
2004,00380000,00380005,"Harry Lee Cole",33.3,100,30.3,100,13.9
2004,00380000,00380013,"Spofford Pond",40.8,99.26,37.4,100,14.1
2004,00390000,00390000,Boylston,26,96.54,25.2,100,14.5
2004,00390000,00390005,"Boylston Elementary",26,96.54,25.2,100,14.5
2004,00400000,00400000,Braintree,333.04,98.83,284,98.63,15
2004,00400000,00400005,Hollis,32.73,100,28.5,100,12.9
2004,00400000,00400015,Highlands,22.33,100,18.7,100,16.7
2004,00400000,00400020,"Mary E Flaherty School",24.83,100,21.5,100,13.6
2004,00400000,00400025,Liberty,23.13,100,19.7,100,17.6
2004,00400000,00400033,"Archie T Morrison",30.23,100,26.9,100,14.6
2004,00400000,00400050,"Donald Ross",19.53,100,16.5,100,15.8
2004,00400000,00400305,"East Middle School",48.23,98.96,39.2,98.72,14
2004,00400000,00400310,"South Middle School",37.53,96.27,30.7,95.44,14.9
2004,00400000,00400505,"Braintree High",94.5,97.88,82.3,97.57,15.7
2004,00410000,00410000,Brewster,59.6,100,45.9,100,9
2004,00410000,00410005,"Stony Brook Elementary",36.8,100,29.1,100,8.1
2004,00410000,00410010,"Eddy Elementary",22.8,100,16.8,100,10.4
2004,00430000,00430000,Brimfield,30.8,100,27.51,100,11.9
2004,00430000,00430005,"Brimfield Elementary",30.8,100,27.51,100,11.9
2004,00440000,00440000,Brockton,1147.5,90.68,986.8,90.52,14.4
2004,00440000,00440001,"Dr W Arnone Comm Sch",55.2,96.38,51.4,96.11,13
2004,00440000,00440004,Ashfield,36.4,91.76,31.1,90.35,12.4
2004,00440000,00440006,"Belmont Street Elementary",32.5,84.31,30.6,83.33,12.4
